edad,peso,talla,talla_sentado,envergadura,estatura_padre,estatura_madre,proyeccion_estatura_adulta_talla_diana,porcentaje_de_altura_adulta_proyectada,crecimiento_restante_cm,pico_veloc_crecimiento,indice_de_maduracion,indice_de_desarrollo_corporal_modificado_idcm,indice_de_rohrer,edad_morfologica,edad_osea,biacro,bilio,humer,femor,tibial_lateral,radial_estiloidea,acromial_radial,long_pie,long_mano,cbz,brrel,brflex,antebr,torax,cintura,pantmax,trc,ssc,ssp,abd,mmed,pant,imc,indice_muscular,iecto,icormico_porcentaje,irmi,indice_de_envergadura_frontal_estatura_ief_e_porcentaje,longitud_relativa_de_miembro_inferior,indice_constitucional_de_pignet,indice_biacromial,indice_acromio_iliaco,indice_braquial_ibb,indice_biacromial_biliocrestal,indice_crural,long_relativa_de_extremidad_superior_lres,longitud_relativa_de_miembro_superior,longitud_relativa_de_muslo,longitud_relativa_de_pierna,longitud_relativa_del_pie,longitud_relativa_de_la_mano,masa_piel_kg,masa_osea_kg,porcentaje_de_masa_osea,masa_adiposa_kg,porcentaje_de_masa_adiposa,masa_muscular_kg,porcentaje_de_masa_muscular,masa_kg,porcentaje_de_masa,peso_predictivo_total_kg,porcentaje_peso_predictivo,peso_ideal_deportista,masa_adiposa_ecuacion_yuhazs,indice_aks,peso_graso,endo,meso,ecto,hwr,area_total_brazo,area_total_muslo,area_total_pierna,musc_brazo,adip_brazo,musc_muslo,adip_muslo,musc_pierna,adip_pierna,total_antebr,porcentaje_grasa_del_brazo,fraccion_lipidica,masa_adiposa,masa_lipida_grasa,porcentaje_lipido_grasa_del_peso,rendimiento_clase,rendimiento_binario
20.572602739726026,59.2,160.0,89,162.0,160,155,172.075,0.929827110271684,12.074999999999989,2.026223208219178,18.546379531506847,1.05633578125,3.7,20.680153023274613,22.02436296978746,36.5,28.0,6.5,9.5,35.8,25.2,28.5,24.0,14.0,53.0,28.5,31.5,25.0,89.0,78.0,33.0,20,17,13,27,28,21,23.124999999999996,3.0,1.5117839722835527,55.625,79.7752808988764,101.25,71.79054054054053,11.800000000000011,22.8125,76.71232876712328,17.8125,1.3035714285714286,84.23529411764704,27.8125,62.45,26.5625,22.374999999999996,15.0,8.75,3.1560265857030374,6.353685613829569,10.732577050387784,23.735687208410763,40.094066230423586,30.633250047570616,51.7453548100855,7.2357513877769755,12.22255301989354,71.11440084329095,120.12567710015365,57.5,14.806999999999999,0.8658279490134091,23.735687208410763,5.2857660082813975,4.7834,1.4749658518275197,41.05869651889005,64.63680126319599,277.00917845144386,86.65986651353701,39.27839391678579,25.358407346410203,200.56670005247986,76.442478398964,55.47347241411975,31.186394099417264,49.735919716217296,39.23215080392477,0.8241664212572525,23.735687208410763,19.562156382637443,0.33044183078779465,En desarrollo,0
23.008219178082193,79.2,174.4,89,176.4,176,164,184.7,0.9442338927991338,10.299999999999983,3.442816322855349,19.565402855226843,1.2002062126504502,4.541284403669724,23.872553574843092,25.424269557207893,42.0,29.5,7.0,9.5,40.0,28.3,32.5,27.0,17.3,54.0,33.0,36.0,28.0,104.0,84.5,38.0,9,12,12,18,7,7,26.039474791684203,-5.5,1.1902222017032997,51.03211009174312,95.95505617977528,101.1467889908257,59.974747474747474,-8.799999999999983,24.08256880733945,70.23809523809523,18.922018348623855,1.423728813559322,84.21052631578948,27.809633027522935,70.7197247706422,27.23623853211009,22.93577981651376,15.481651376146788,9.919724770642201,3.801861929882543,8.047346478436424,10.160791008126797,17.963551655425498,22.68125209018371,43.26145583630985,54.62305029837102,9.480404218371488,11.970207346428646,82.5546201184258,104.23563146265883,68.30000000000001,8.89,1.1544378366526646,17.963551655425498,3.2958670706984163,5.4091999999999985,1.151201385246953,40.61639533503682,86.65986651353701,305.89580062262286,114.90986891234844,72.44603902588894,14.213827487648075,284.5806457226876,21.315154899935237,101.99471401241318,12.91515489993526,62.38873769202297,16.40185712197901,0.608247525918278,17.963551655425498,10.926285851117747,0.13795815468583014,En desarrollo,0
22.22739726027397,66.3,172.0,89,174.0,173,163,182.68,0.9415371140792642,10.680000000000007,2.8962032382924487,19.331194021981524,1.0904785089913467,3.854651162790698,21.99295009337708,23.422491849446587,40.0,26.5,6.5,9.8,39.5,26.8,30.0,24.5,16.5,54.0,31.0,34.0,27.0,96.0,74.0,36.0,7,7,6,7,5,5,22.410762574364522,-8.0,2.571253214450884,51.74418604651163,93.25842696629213,101.16279069767442,70.88989441930619,9.699999999999989,23.25581395348837,66.25,18.023255813953487,1.509433962264151,84.04255319148936,26.744186046511626,66.39302325581394,27.325581395348838,22.96511627906977,14.244186046511627,9.593023255813954,3.489942838604816,6.7021922876915285,10.10888731175193,12.57624807530692,18.968699962755533,35.79270779885602,53.98598461365916,7.2357513877769755,10.913652168592725,65.79684238823626,99.24108957501699,66.5,6.1739999999999995,1.0557983873411514,12.57624807530692,1.897666828937334,4.846700000000002,2.532081582153552,42.5028436914666,76.47395015565571,249.55495076809189,103.13240312354819,66.00879525572047,10.465154899935243,235.75130030894124,13.803650459150646,94.32875266439754,8.803650459150646,58.01197675699585,13.684600937488359,0.5622118795381686,12.576248075306918,7.070516067956578,0.10664428458456376,Alto rendimiento,1
18.956164383561642,78.7,172.0,89,174.0,176,168,186.72,0.921165381319623,14.719999999999999,1.4447415489646376,17.511422834597006,1.309424946254732,4.575581395348837,23.25347473021545,24.764950587679454,44.5,30.0,7.5,10.5,40.0,27.5,32.0,27.5,17.8,57.0,31.0,34.0,29.0,104.0,85.0,36.0,14,17,16,30,27,16,26.602217414818824,-5.0,0.9601490761400377,51.74418604651163,93.25842696629213,101.16279069767442,60.99110546378653,-10.699999999999989,25.872093023255815,67.41573033707866,18.023255813953487,1.4833333333333334,83.33333333333333,27.906976744186046,69.84883720930233,27.906976744186046,23.25581395348837,15.988372093023257,10.348837209302326,3.7537411857922285,9.629863456242681,12.236167034615859,26.832960350404708,34.095248221607,41.36860021692886,52.56493038999855,9.24819875313757,11.751205531305681,90.83336396250606,115.41723502224403,66.5,14.225000000000001,1.019309613650278,26.83296035040471,4.699625687039017,5.816699999999997,0.8040158548072185,40.14209816230494,76.47395015565571,296.10777162247126,103.13240312354819,56.31333055591471,20.160619599741004,219.4833242336387,76.62444738883255,76.34302242184565,26.78938070170254,66.92465357014198,26.362728169142446,0.7497810779479268,26.83296035040471,20.118845936060424,0.25563971964498633,Alto rendimiento,1
20.252054794520546,54.2,172.0,89,174.0,170,160,179.65,0.9574172001113276,7.650000000000006,1.7587158760114672,18.493338918509078,0.9279159971606274,3.1511627906976747,18.78625831503485,20.007365105512115,41.2,25.2,6.5,8.7,40.0,27.5,30.5,25.5,16.5,53.0,25.0,28.0,23.0,87.0,69.0,33.0,5,7,3,7,6,5,18.320713899405085,-4.0,4.733308416045112,51.74418604651163,93.25842696629213,101.16279069767442,90.40590405904058,30.80000000000001,23.953488372093023,61.165048543689316,14.534883720930234,1.634920634920635,81.63265306122449,27.03488372093023,67.59302325581396,28.488372093023255,23.25581395348837,14.825581395348838,9.593023255813954,3.203500240720167,6.111521788773316,11.275870458991358,11.889177604217869,21.93575203730234,24.826786043312797,45.80587830869519,5.53291130939493,10.208323449068136,51.56389698641908,95.13634130335623,66.5,5.786,0.8315074143586048,11.889177604217869,1.2900669594530703,2.612199999999998,4.69342948123937,45.45550475579149,49.735919716217296,187.18610744395542,86.65986651353701,43.68226925706665,6.053650459150646,172.91885078277852,14.267256661176901,78.60621605438637,8.053650459150646,42.096482447806316,12.171586438315614,0.5990033252625491,11.889177604217869,7.12165691956353,0.13139588412478836,En desarrollo,0
21.827397260273973,60.0,153.6,89,155.6,165,150,172.075,0.8926340258608165,18.474999999999994,2.6847264117808214,19.14267084849315,1.0334976623535157,3.90625,21.019708011039224,22.385989031756772,38.5,27.0,6.0,9.2,35.5,25.0,28.0,24.5,16.0,54.0,28.0,31.0,23.0,93.0,78.5,35.0,22,22,19,26,23,20,25.431315104166664,-0.5,0.5406341884462016,57.942708333333336,72.58426966292134,101.30208333333333,77.5,0.5999999999999943,25.065104166666668,70.12987012987013,18.229166666666668,1.4259259259259258,76.34408602150538,28.645833333333336,63.41666666666667,30.2734375,23.111979166666668,15.950520833333334,10.416666666666668,0.0,6.289002426437199,10.481670710728666,22.512109824122952,37.52018304020492,30.92059058194524,51.5343176365754,8.86118964441438,14.768649407357298,68.58289247691977,114.30482079486629,52.69999999999999,16.444,1.0344686932000033,22.512109824122955,6.572916140369099,5.218999999999998,0.14397135805143435,39.24039803012491,62.38873769202297,277.00917845144386,97.4824026437859,35.390064802866625,26.998672889156346,213.31393473581636,63.6952437156275,65.62399529737569,31.858407346410218,42.096482447806316,43.27491449247321,0.792250269698541,22.512109824122952,17.835225079644584,0.2972537513274097,En desarrollo,0
17.583561643835615,65.9,182.0,89,184.0,167,168,182.175,0.9990393852065321,0.17500000000001137,0.5614821794370003,17.022079464398615,0.9458052200821158,3.6208791208791213,17.65118470952098,18.798511715639844,38.0,27.8,7.5,10.0,44.0,29.5,34.0,28.5,18.5,55.0,24.0,27.0,25.0,87.0,69.0,35.0,7,8,7,12,10,10,19.894940224610554,-4.0,4.448863180834252,48.9010989010989,104.49438202247192,101.0989010989011,79.66616084977238,29.099999999999994,20.87912087912088,73.15789473684211,13.186813186813188,1.3669064748201438,83.80952380952381,27.472527472527474,73.66483516483517,28.846153846153847,24.175824175824175,15.659340659340659,10.164835164835164,3.626561090397936,6.77256672459101,10.277036000896826,17.755528441170412,26.943138757466482,28.54496700958249,43.315579680701795,5.997322239862761,9.100640728168074,62.69694550560461,95.13952277026495,74.0,7.823,0.7986054326471824,17.755528441170412,1.9911109456039808,2.9574,4.407390404879152,45.064740990272064,45.83662361046586,249.55495076809189,97.4824026437859,37.82146871053062,8.01515489993524,222.3403489314893,27.214601836602583,80.76780080718335,16.714601836602554,49.735919716217296,17.486355382653322,0.6610949205925845,17.755528441170416,11.73808966489493,0.1781197217738229,Alto rendimiento,1
12.027397260273972,79.7,184.1,89,186.1,180,178,193.79,0.9499974198875071,9.689999999999998,-2.0192050694793626,14.046602329753334,1.1080120569229874,4.329168929929387,16.969843922020512,18.072883776951844,42.5,29.8,7.0,10.5,41.0,29.0,34.5,27.5,17.5,55.0,31.0,34.0,27.0,97.0,84.0,38.0,11,10,7,15,15,10,23.515311949643596,1.0,2.780230674530223,48.34329168929929,106.85393258426966,101.08636610537751,65.87202007528231,7.400000000000006,23.085279739272135,70.11764705882354,16.838674633351438,1.4261744966442953,78.0952380952381,27.430744160782183,73.00570342205323,28.517110266159698,22.270505160239,14.937533948940793,9.505703422053232,3.9646122947327536,8.579931965805057,10.765284775163183,21.009639582379442,26.360902863713225,40.77920140410579,51.16587378181404,12.034664335944553,15.099955252126165,86.3680495829676,108.36643611413751,75.57499999999999,9.181000000000001,0.9406009456001576,21.009639582379442,2.6061343892592683,4.2776,2.739066651277252,42.78561017934051,76.47395015565571,315.8429845658663,114.90986891234844,60.37428193336664,16.099668222289075,270.36013043351056,45.482854132355726,96.69526707574586,18.214601836602583,58.01197675699585,21.052486748127535,0.6538751955100439,21.009639582379442,13.737682189523916,0.17236740513831764,Alto rendimiento,1
20.21095890410959,76.9,180.0,89,182.0,176,164,184.7,0.9745533297238766,4.699999999999989,2.006490010045662,18.204468894063925,1.1371304799382718,4.272222222222223,21.581242662263996,22.984023435311155,42.5,27.5,7.0,10.0,41.0,28.0,33.0,27.0,18.0,55.0,31.0,34.0,28.0,103.0,79.0,39.0,6,10,5,12,6,6,23.73456790123457,-10.0,2.4491668721532385,49.44444444444444,102.24719101123596,101.11111111111111,67.62028608582574,0.09999999999999432,23.61111111111111,64.70588235294117,17.22222222222222,1.5454545454545454,78.84615384615384,27.22222222222222,71.0,28.88888888888889,22.77777777777778,15.0,10.0,3.8415651314480734,7.763314649901844,10.095337646166247,15.595162072261903,20.279794632330173,42.471487492498134,55.22950259102488,11.492851583732083,14.945190616036518,81.16438092984205,105.54535881643957,72.5,6.95,1.05118034855518,15.595162072261903,1.905568529281229,4.833600000000001,2.4087698896410075,42.33438509513799,76.47395015565571,286.4788975654116,121.0373342213864,67.45669349447878,9.01725666117693,268.76164090423475,17.71725666117686,109.62007756020951,11.417256661176893,62.38873769202297,11.791278785551329,0.5784694534408942,15.595162072261903,9.021324880263506,0.11731241716857614,Alto rendimiento,1
22.364383561643837,87.1,189.0,89,191.0,205,166,200.355,0.9433255970652094,11.35499999999999,3.160345868145251,19.204037693498584,1.1269785565913608,4.608465608465608,22.554896421092888,24.020964688463923,42.0,29.5,7.5,10.0,44.0,30.0,34.0,29.0,19.5,58.0,32.0,35.0,28.5,99.0,78.0,39.0,15,14,8,22,15,10,24.38341591780745,-7.0,2.676967386956896,47.08994708994709,112.35955056179776,101.05820105820106,61.423650975889785,2.9000000000000057,22.22222222222222,70.23809523809523,16.93121693121693,1.423728813559322,82.24299065420561,26.455026455026452,74.31746031746032,28.306878306878307,23.280423280423282,15.343915343915343,10.317460317460318,4.196231736728753,8.149771065557408,9.356798008676703,25.675286418786584,29.477940779318693,45.32848883966837,52.04189304209917,8.087171426967995,9.284927011444312,91.43694948770911,104.97927610529176,79.25,10.733,0.9098247097132911,25.67528641878658,3.412917252868061,4.038000000000004,2.6351074464316184,42.64358940769347,81.48733086305042,357.2232697697591,121.0373342213864,59.254476730694684,22.232854132355733,308.7404156374034,48.482854132355726,102.32273238478383,18.71460183660257,64.63680126319599,27.28381687911806,0.6925264656635518,25.67528641878658,17.780815358501663,0.2041425414294106,Alto rendimiento,1
